INFO id, ap, x, y
INFO 1, 37, 88, 30, 0
INFO 2, 74, 158, 27, 5
INFO 3, 47, 95, 44, 0
INFO 4, 36, 75, 181, 8
INFO 5, 77, 164, 103, 0
INFO 6, 8, 18, 145, 7
INFO 7, 45, 79, 189, 0
INFO 8, 78, 163, 132, 7
INFO 9, 51, 115, 117, 0
INFO 10, 14, 40, 97, 9
INFO 11, 75, 177, 55, 0
INFO 12, 80, 153, 165, 1
INFO 13, 27, 64, 180, 0
INFO 14, None, 170, 12, 5
INFO 15, 73, 145, 17, 0
INFO 16, 24, 57, 137, 13
INFO 17, 5, 1, 105, 0
INFO 18, 6, 16, 103, 3
INFO 19, 27, 56, 179, 0
INFO 20, 28, 54, 14, 13
INFO 21, 65, 147, 46, 0
INFO 22, 46, 104, 2, 7
INFO 23, 45, 91, 181, 0
INFO 24, 54, 110, 187, 7
INFO 25, 23, 39, 100, 0
INFO 26, 18, 27, 191, 4
INFO 27, 77, 162, 90, 0
INFO 28, 26, 57, 165, 7
INFO 29, 45, 96, 181, 0
INFO 30, 74, 166, 24, 12
INFO 31, 63, 140, 186, 0
INFO 32, 66, 138, 72, 11
INFO 33, 71, 133, 168, 0
INFO 34, 38, 99, 44, 9
INFO 35, 67, 142, 82, 0
INFO 36, 20, 43, 39, 8
INFO 37, 43, 85, 129, 0
INFO 38, 72, 150, 195, 1
INFO 39, 9, 25, 184, 0
INFO 40, 58, 129, 81, 9
INFO 41, 9, 5, 192, 0
INFO 42, 44, 81, 171, 11
INFO 43, 1, 31, 25, 0
INFO 44, 50, 109, 113, 5
INFO 45, 59, 133, 94, 0
INFO 46, 34, 70, 151, 9
INFO 47, 81, 168, 166, 0
INFO 48, 36, 84, 169, 3
INFO 49, 77, 149, 97, 0
INFO 50, 52, 103, 138, 9
INFO 51, 39, 90, 59, 0
INFO 52, 66, 144, 73, 11
INFO 53, 27, 59, 176, 0
INFO 54, 26, 49, 183, 11
INFO 55, 11, 45, 30, 0
INFO 56, 8, 25, 170, 4
INFO 57, 25, 65, 133, 0
INFO 58, 48, 125, 53, 7
INFO 59, 69, 147, 115, 0
INFO 60, 70, 134, 139, 7
INFO 61, 63, 126, 196, 0
INFO 62, 52, 97, 129, 5
INFO 63, 9, 22, 171, 0
INFO 64, 76, 176, 67, 10
INFO 65, None, 178, 39, 0
INFO 66, 8, 12, 182, 8
INFO 67, 55, 128, 2, 0
INFO 68, 74, 168, 33, 3
INFO 69, 3, 29, 60, 0
INFO 70, 24, 41, 120, 10
